91;10;1;Red;10;0,5096989;16,1013;0.67
92;10;2;Red;20;0,09843159;17,91357;0.68
93;10;3;Red;30;0,1634655;19,24953;0.67
94;10;4;Red;40;0,2168818;20,59712;0.67
95;10;5;Red;50;0,2470627;21,96794;0.67
96;10;6;Black;60;-0,1029882;23,51301;0.70
97;10;7;Black;70;-0,3190441;24,69796;0.73
98;10;8;Black;80;-0,4537802;25,96422;0.72
99;10;9;Black;90;0,1085091;27,92751;0.72
100;10;10;Black;100;0,1015615;29,32156;0.72
81;9;1;Red;10;0,5213165;16,08968;0.67
82;9;2;Red;20;0,09843159;17,91357;0.67
83;9;3;Red;30;0,3144875;19,09851;0.67
84;9;4;Red;40;0,1355619;20,67844;0.67
85;9;5;Red;50;0,01472092;22,20028;0.67
86;9;6;Black;60;-0,05652142;23,55948;0.70
87;9;7;Black;70;-0,06346893;24,95353;0.73
88;9;8;Black;80;-0,1285028;26,2895;0.70
89;9;9;Black;90;0,08527565;29,62361;0.72
90;9;10;Black;100;0,4036055;29,62361;0.72
71;8;1;Red;10;0,3122082;16,29879;0.68
72;8;2;Red;20;0,3540068;17,65799;0.68
73;8;3;Red;30;0,01244164;19,40056;0.68
74;8;4;Red;40;3,806565;17,00743;0.68
75;8;5;Red;50;3,883215;18,33179;0.68
76;8;6;Black;60;-0,149457;23,46654;0.72
77;8;7;Black;70;-0,3771305;24,63987;0.73
78;8;8;Black;80;1,242316;27,66032;0.72
79;8;9;Black;90;-0,147068;27,67193;0.70
80;8;10;Black;100;0,2990522;16,08968;0.67
61;7;1;Red;10;0,4748478;16,13615;0.68
62;7;2;Red;20;0,2959223;17,71608;0.67
63;7;3;Red;30;0,01079178;19,42379;0.67
64;7;4;Red;40;0,2284975;20,5855;0.67
65;7;5;Red;50;0,07280731;22,14219;0.67
66;7;6;Black;60;0,1409693;23,75697;0.70
67;7;7;Black;70;-0,4003639;24,61664;0.73
68;7;8;Black;80;0,173543;26,59154;0.70
69;7;9;Black;90;-0,4491119;27,36989;0.70
70;7;10;Black;100;-0,3631239;28,85688;0.72
51;6;1;Red;10;0,393528;16,21747;1.67
52;6;2;Red;20;0,3075399;17,70446;1.65
53;6;3;Red;30;0,1750813;19,23792;1.60
54;6;4;Red;40;1,750339;19,06366;1.65
55;6;5;Red;50;16,01147;6,203532;2.98
56;6;6;Black;60;-2,716836;20,89916;2.03
57;6;7;Black;70;-0,5513859;24,46561;1.27
58;6;8;Black;80;0,2432451;26,66125;1.50
59;6;9;Black;90;0,2014465;28,02045;1.90
60;6;10;Black;100;-11,8989;17,3211;1.93
41;5;1;Red;10;0,1960373;16,41496;0.67
42;5;2;Red;20;0,06420803;18,07621;0.67
43;5;3;Red;30;0,03402519;19,44703;0.67
44;5;4;Red;40;0,1820307;20,63197;0.67
45;5;5;Red;50;0,07821465;22,29321;0.67
46;5;6;Black;60;0,04803371;24,53532;0.72
47;5;7;Black;70;-0,4816837;24,53532;0.72
48;5;8;Black;80;0,4523535;26,87035;0.70
49;5;9;Black;90;0,3640862;28,18309;1.05
50;5;10;Black;100;1,054164;30,27416;1.03
31;4;1;Red;10;0,0014534;16,61245;0.67
32;4;2;Red;20;0,2843046;17,7277;0.67
33;4;3;Red;30;0,1169968;19,296;0.67
34;4;4;Red;40;0,2245684;21,03857;0.72
35;4;5;Red;50;0,5429001;22,7579;0.68
36;4;6;Black;60;-0,03328609;23,58271;0.70
37;4;7;Black;70;0,07593727;25,09294;0.68
38;4;8;Black;80;0,6498442;27,06784;0.70
39;4;9;Black;90;0,6893635;28,50836;0.68
40;4;10;Black;100;0,1131773;29,33318;0.70
21;3;1;Red;10;0,2541237;16,35688;0.67
22;3;2;Red;20;0,2610712;17,75093;0.67
23;3;3;Red;30;0,1866989;19,2263;0.67
24;3;4;Red;40;0,1897173;21,00372;0.67
25;3;5;Red;50;0,2238293;21,99117;0.68
26;3;6;Black;60;-0,149457;23,46654;0.70
27;3;7;Black;70;-0,04023361;24,97677;0.70
28;3;8;Black;80;-0,7209749;25,69703;0.72
29;3;9;Black;90;0,003955841;27,82296;0.73
30;3;10;Black;100;-0,09592915;29,12407;0.72
11;2;1;Red;10;0,1030998;16,5079;0.70
12;2;2;Red;20;0,1797514;17,83225;0.72
13;2;3;Red;30;0,1750813;19,23792;0.70
14;2;4;Red;40;0,1123266;20,70167;0.68
15;2;5;Red;50;0,003105164;22,21189;0.70
16;2;6;Black;60;-0,1959257;23,42007;0.73
17;2;7;Black;70;-0,0170002;25;0.72
18;2;8;Black;80;-0,1052675;26,31273;0.70
19;2;9;Black;90;0,5383415;28,35734;0.72
20;2;10;Black;100;0,2409658;29,46097;0.73
1;1;1;Red;10;0,4399967;16,171;0.68
2;1;2;Red;20;0,3307734;17,68123;0.68
3;1;3;Red;30;0,2680187;19,14498;0.67
4;1;4;Red;40;0,1587954;20,6552;0.67
5;1;5;Red;50;0,6126022;22,8276;0.68
6;1;6;Black;60;0,5940371;24,21004;0.72
7;1;7;Black;70;-0,1796398;24,83736;0.73
8;1;8;Black;80;0,06898785;26,48699;0.72
9;1;9;Black;90;-0,112215;27,70679;0.73
10;1;10;Black;100;-0,03784466;29,18216;0.73
